Age	EDC__D
7270	-398,5
7290	-406,3
7311	-399,9
7332	-404,7
7353	-403,8
7374	-395
7395	-402,8
7416	-404,2
7436	-399,1
7456	-393,3
7475	-399,1
7494	-389,2
7513	-397,7
7532	-388,4
7552	-400,3
7571	-403,7
7591	-398,3
7611	-396,1
7631	-390,7
7651	-404,7
7670	-400,2
7690	-388,5
7710	-390,4
7730	-405,5
7751	-399,5
7771	-402,1
7792	-402,2
7812	-395,2
7832	-391,6
7853	-396,5
7873	-399,5
7894	-400,6
7915	-401,6
7937	-400,6
7959	-406,3
7982	-398,3
8005	-411,7
8027	-399,8
8049	-396,9
8071	-401,4
8094	-405,3
8117	-408,3
8141	-406,5
8164	-400,8
8186	-403,2
8208	-397,5
8231	-401
8253	-401,5
8275	-400,4
8298	-400,3
8321	-407,3
8345	-403
8367	-404,2
8390	-401,2
8412	-397,2
8435	-396,9
8456	-397,8
8478	-409,5
8500	-397,1
8522	-390,3
8544	-397,5
8566	-401,9
8587	-392,4
8608	-399,9
8630	-399,3
8652	-396,7
8675	-402,1
8697	-401,8
8719	-397,5
8741	-400,2
8764	-395
8787	-404,4
8810	-402,1
8832	-397,9
8854	-393,4
8875	-397,7
8897	-397,4
8918	-397,4
8940	-399
8961	-391,8
8983	-392,7
9004	-401,1
9025	-396,1
9047	-397,7
9068	-395,6
9090	-398,6
9112	-394,9
9134	-394,9
9156	-407,4
9179	-403,4
9201	-392,2
9222	-400,4
9243	-391,1
9263	-388,5
9284	-394,8
9305	-397,7
9326	-401,2
9347	-391,9
9368	-393,3
9388	-394,3
9408	-395
9428	-392,4
9448	-393,5
9468	-390
9506	-388,5
9526	-394,3
9547	-403,6
9568	-393,3
9589	-398
9609	-391
9628	-395,8
9648	-386,4
9668	-391,8
9687	-398,2
9707	-391,6
9726	-393,4
9745	-384,4
9763	-391,3
9782	-391
9800	-388,3
9819	-391,4
9837	-382,9
9855	-387,2
9874	-405,5
9894	-391,7
9915	-392,1
9934	-400,4
9954	-386,7
9973	-394,5
9992	-389,9
10011	-394,7
10031	-396,6
10050	-388,6
10069	-392,9
10088	-395,2
10106	-389,1
10125	-388,7
10143	-391,8
10161	-388,8
10179	-397,7
10198	-390,4
10216	-382,1
10234	-387,9
10251	-390,6
10270	-393,3
10288	-388,1
10306	-391,6
10325	-396,9
10344	-398,7
10363	-386,6
10382	-390,7
10400	-391,2
10418	-389,5
10437	-400,9
10456	-388,6
10475	-397,9
10494	-393
10514	-394,4
10533	-399,4
10551	-388,2
10569	-386,8
10586	-383
10603	-387,5
10619	-390,1
10636	-377,1
10653	-397,4
10672	-390,6
10691	-393,2
10710	-395,2
10729	-393,7
10748	-392,9
10766	-391,4
10785	-384,5
10803	-394,4
10822	-394,8
10841	-395,8
10861	-396,2
10880	-395,4
10898	-391,7
